246632,-7040,32767,12156,37.24,-972,19533,-6139,994.90,36.65,7.58
246726,-10532,32767,14704,37.19,-624,32767,-10351,994.47,36.65,10.36
246802,-3472,32767,20540,37.14,477,32767,-10566,993.88,36.65,15.13
246879,-5040,32767,32767,37.14,-2908,32767,-9822,993.37,36.65,19.86
246956,-2428,32767,32767,37.19,-8251,32767,-11761,992.76,36.66,24.18
247031,944,32767,32767,37.24,-8421,32767,-13285,992.07,36.66,28.90
247108,7888,32767,32767,37.19,-6993,32767,-12410,991.28,36.65,36.23
247185,8008,32767,32767,37.05,-8996,32767,-9364,990.60,36.65,43.05
247269,12648,32767,27340,37.14,-7672,32767,-7363,989.87,36.64,47.89
247345,13264,32767,23792,37.19,-9337,32767,-4206,989.42,36.64,53.33
247421,20856,32767,16948,37.05,-9695,32767,-2700,988.67,36.66,58.31
247498,21164,32767,11748,37.09,-11728,32767,-145,988.07,36.65,63.90
247574,27608,32767,12072,37.14,-12900,32767,238,987.28,36.66,69.87
247651,29764,15992,9876,37.09,-13759,32767,497,986.60,36.66,75.88
247728,31756,1124,10444,37.24,-13257,32767,-897,985.77,36.65,83.25
247803,28416,-3372,10052,37.19,-12566,32767,-1653,984.97,36.64,89.80
247887,31472,-6844,15716,37.14,-12414,32767,-1466,984.22,36.65,96.41
247963,30748,-7556,12720,37.09,-11998,32767,-1678,983.44,36.65,102.50
248040,29824,-7480,12312,37.14,-12085,32767,-1543,982.82,36.65,109.00
248117,27036,-7108,7492,37.09,-12039,32767,-1646,982.13,36.65,113.87
248194,26992,-5832,10108,37.24,-11160,32767,-1869,981.39,36.64,121.20
248269,26072,-6324,6944,37.14,-11510,32767,-2190,980.72,36.65,125.52
248346,27612,-6472,9008,37.19,-10639,32767,-1430,979.95,36.66,133.26
248429,22960,-6352,6264,37.09,-11371,32767,-2197,979.33,36.65,138.61
248506,25180,-5984,7980,37.24,-10230,32767,-1831,978.61,36.65,144.56
248583,22596,-5816,8880,37.19,-10740,32767,-1538,977.95,36.65,150.22
248658,22480,-5812,7332,37.05,-10344,32767,-1880,977.33,36.66,155.85
248735,21156,-5716,10200,37.19,-10196,32767,-1627,976.75,36.65,161.81
248812,21820,-5428,6448,37.14,-9595,32767,-2000,976.09,36.66,165.79
248888,20136,-5672,7400,37.09,-9283,32767,-917,975.43,36.66,172.22
